"analysis_id","gene_accession_id","gene_symbol","mouse_strain","mouse_life_stage","parameter_id","parameter_name","pvalue"
"000245yyjk59296","MGI:1919095","Erich3","C57BL","Early adult","JAX_PLC_004_001","Glucose",0.7558683
"00030k7c1f1lv4j","MGI:109339","Eya3","C57BL","Early adult","HRWL_OWT_001_001","Spleen weight",0.8793484
"0007245e8ez563z","MGI:1861457","Dynll1","C57BL","Early adult","M-G-P_026_001_006","Skin condition",0.3869295
"0008ini54m0a7s8","MGI:1923896","Wdr38","C57BL","Early adult","impc_cbc_001_001","Sodium",0.6193429
"000au996t7i06j9","MGI:107247","Adam7","C57BL","Early adult","IMPC_GEO_065_001","Limb morphology",0.5374599
"000q6uj3camf31d","MGI:1920963","Rbm20","C57BL","Early adult","IMPC_OFD_011_001","Periphery resting time",0.1459335
"00133g2w5636gt2","MGI:2679719","Armc7","C57BL","Early adult","ESLIM_005_001_701","BMC/Body weight",0.9132278
"001942l0500038n","MGI:1925212","Scaf8","C57BL","e9.5","IMPC_GEO_047_002","Microphthalmia",0.669443
"001dd3ru656ehs0","MGI:2136381","Hadhb","C57BL","Early adult","ESLIM_008_001_013","Startle response",0.8727186
"001qv3u23a70u6k","MGI:2685948","Irgc","C57BL","Early adult","ESLIM_008_001_003","Defecation",0.8206313
"0028bog44g28851","MGI:1353657","Fgd3","C57BL","Early adult","ESLIM_011_001_704","Prepulse inhibition - PP4",0.297729
"002e52e2pqn055r","MGI:2182543","Grhl2","C57BL","E15.5","IMPC_CSD_032_001","Locomotor activity",0.756148
"002g44702exzpf7","MGI:1915956","Rgp1","C57BL","E9.5","JAX_OFD_022_001","Percentage center time",0.6049545
"00370y6kg65o8r9","MGI:98495","Tbx3","C57BL","E9.5","IMPC_CBC_011_001","Iron",0.2192445
"00389rzchif95po","MGI:2441671","Hcar1","C57BL","Early adult","IMPC_CSD_030_001","Tremor",0.1573886
"003g7o1lfk1tfw2","MGI:99953","Gja8","C57BL","Early adult","IMPC_GEL_027_001","Neural tube closure",0.7029153
"003k601849m7q0j","MGI:1915814","Nufip2","C57BL","E18.5","IMPC_DXA_005_001","Bone Mineral Content (excluding skull)",0.6116726
"00400d20acovvol","MGI:2182543","Grhl2","C57BL","Early adult","BCMLA_EYE_068_001","Left total retinal thickness",0.9586763
"00419aa1z10060m","MGI:1913521","Tmem126a","C57BL","Early adult","IMPC_OFD_014_001","Center distance travelled",0.6530561
"004580vjqc753l6","MGI:96194","Hoxc12","C57BL","Early adult","IMPC_CBC_009_001","Calcium",0.4767417
"004ix1jah4w3j92","MGI:1859607","Praf2","C57BL","Early adult","IMPC_DXA_003_001","Lean mass",0.6630894
"004x7z9g4ug90o2","MGI:1921783","Gzf1","C57BL","Early adult","IMPC_ACS_037_001","% Pre-pulse inhibition - Global",0.5919664
"00554av37h62977","MGI:2685948","Irgc","C57BL","Early adult","M-G-P_026_001_012","Incisor",0.8623056
"0056hgag0tx1r74","MGI:2448562","Adnp2","C57BL","Middle aged adult","IMPC_IMM_005_002","NK cells (Panel A) - % of live leukocytes (Panel A)",0.1894654
"0057bc8q6zqu971","MGI:103556","Cxcl12","C57BL","E9.5","IMPC_IMM_005_002","NK cells (Panel A) - % of live leukocytes (Panel A)",0.6996233
"005awa4wb6m1f5o","MGI:2140300","Myorg","C57BL","Early adult","ESLIM_008_001_003","Defecation",0.6183438
"005en7cz26834n2","MGI:98495","Tbx3","C57BL","Early adult","M-G-P_025_001_023","HDL-cholesterol",0.8799973
"005vpl32lk66csw","MGI:2448562","Adnp2","C57BL","Early adult","IMPC_GEP_022_001","Embryo Size",0.404452
"0060ok99b411uz6","MGI:1859214","Pmm2","C57BL","Early adult","IMPC_CBC_016_001","HDL-cholesterol",0.9894441
"00698nw8110zx56","MGI:2448562","Adnp2","C57BL","Late adult","IMPC_OFD_014_001","Center distance travelled",0.7300957
"006a1w67g0q6zop","MGI:1859214","Pmm2","C51BL","E12.5","M-G-P_012_001_005","Body Weight",0.656159
"006bta95s9h48p8","MGI:1353657","Fgd3","C57BL","Early adult","IMPC_GEL_027_001","Neural tube closure",0.7475819
"006d8usv728o604","MGI:3608347","Zfp385c","C57BL","Early adult","M-G-P_006_001_017","Shape of ribs",0.9455827
"006dj0135zp38f2","MGI:2684940","Gm94","C57BL","Early adult","TCPLA_CSD_032_001","Locomotor activity",0.6428203
"00707033q6w4kdg","MGI:1194883","Crx","C57BL","Early adult","IMPC_HEM_019_001","Mean platelet volume",0.3708473
"00727thag3j084v","MGI:1929492","Atl2","C57BL","Early adult","MGP_IMM_071_001","Total CD4+ T cells - % of CD45+",0.612029
"007888iqo90m9w4","MGI:2685751","Tmem171","C57BL","Early adult","IMPC_CSD_039_001","Limb grasp",0.7198807
"007a2z1y127j57c","MGI:1195272","Eda","C57BL","Early adult","IMPC_CBC_023_001","Alpha-amylase",0.1716563
"007ok0pw2l3m93e","MGI:1923356","Kdm3b","C57BL","Early adult","JAX_LDT_001_001","Side changes",0.1563169
"007y8g55fe8n72z","MGI:2676312","Abca12","C57BL","Early adult","IMPC_HEM_006_001","Mean corpuscular hemoglobin",0.5400504
"00813om84f6dnq4","MGI:105089","Hsd17b4","C57BL","late adult","IMPC_CBC_011_001","Iron",0.6302164
"0083lu132ub2407","MGI:2147679","Patl1","C57BL","Early adult","IMPC_CBC_008_001","Total bilirubin",0.4717871
"008h983sv1h9272","MGI:107794","Zfp69","C57BL","Early adult","M-G-P_016_001_001","White blood cell-count",0.3014786
"008x3ok9zy07r3g","MGI:1859607","Praf2","C57BL","Early adult","IMPC_ACS_006_001","Response amplitude - S",0.2961412
"00940opgl8l97p6","MGI:1923896","Wdr38","C57BL","Early adult","IMPC_CBC_012_001","Aspartate aminotransferase",0.386574
"0094xoj321ypd23","MGI:2682952","Prdm10","C57BL","Early adult","IMPC_OFD_011_001","Periphery resting time",0.4716755
"009657850xwbtp4","MGI:2147134","Fbxo11","C3H","Early adult","IMPC_CSD_002_001","Tail - length",0.481202
"009l53hb79d695h","MGI:2147134","Fbxo11","C3H","Early adult","IMPC_GEP_030_002","Edema",0.5581868
"00boyw93ss4p97t","MGI:1915956","Rgp1","C57BL","E9.5","ESLIM_011_001_006","110dB startle magnitude",0.1551579
"00cmpyb8f22ws2l","MGI:103556","Cxcl12","C57BL","Early adult","IMPC_IPG_012_001","Area under glucose response curve",0.9453724
"00cyc21j4q1259p","MGI:2685948","Irgc","C57BL","Early adult","JAX_OFD_013_001","Periphery average speed",0.7682618
"00d99ek3rack25z","MGI:2140300","Myorg","C57BL","Early adult","IMPC_EYE_016_001","Lens",0.05834171
"00e485o6xxr3ba7","MGI:1861457","Dynll1","C57BL","Early adult","IMPC_OFD_010_001","Periphery distance travelled",0.1388586
"00ea32vz62612n9","MGI:2442920","Rab11fip4","C57BL","Early adult","IMPC_CBC_013_001","Alanine aminotransferase",0.7689033
"00f4r9p4b806u87","MGI:102793","Fstl1","C57BL","early adult","IMPC_ECG_002_001","HR",0.9162125
"00fm0af8ny6lw16","MGI:1915956","Rgp1","C57BL","Early adult","JAX_PLC_001_001","Total cholesterol",1.171293e-05
"00h0kbxcp700kr4","MGI:1353657","Fgd3","C57BL","Early adult","M-G-P_025_001_015","Alkaline phosphatase",0.1065646
"00h67525z6r3tg1","MGI:2148802","Sec16b","C57BL","Early adult","IMPC_EYE_083_001","Vitreous",0.07974554
"00h9v9td9811440","MGI:2147679","Patl1","C57BL","E12.5","M-G-P_026_001_005","Coat texture",0.873477
"00hwtnxd31xk32m","MGI:105089","Hsd17b4","C57BL","Late adult","UCD_OWT_003_001","Spleen weight",0.05583412
"00j2kqrikg4xpf7","MGI:2148802","Sec16b","C57BL","Early adult","M-G-P_026_001_012","Incisor",0.414873
"00jubg1gj2gmlr8","MGI:103556","Cxcl12","C57BL","Early adult","IMPC_OFD_010_001","Periphery distance travelled",0.1982792
"00k1952m2fjb30e","MGI:96546","Il1r2","C57BL","Early adult","IMPC_CSD_033_001","Gait",0.4595799
"00k336s71d81sc9","MGI:1298378","Dhcr7","C57BL","Early adult","M-G-P_025_001_008","Albumin",0.2944137
"00kh8p507ug3i75","MGI:1915956","Rgp1","C57BL","E9.5","IMPC_ACS_034_001","% Pre-pulse inhibition - PPI2",0.5888023
"00kn4c257t86cva","MGI:3608347","ZFP385C","C57BL","Early adult","ESLIM_013_001_005","Left retina structure",0.6210835
"00o48k4miliz554","MGI:3608347","Zfp385c","C57BL","Early adult","IMPC_EYE_003_001","Eye Hemorrhage or Blood Presence",0.3150138
"00p36f1gu52lk35","MGI:96546","Il1r2","C57BL","Early adult","IMPC_CSD_032_001","Locomotor activity",0.8489085
"00p8li73ai1i039","MGI:1924170","Arrdc5","C57BL","Early adult","IMPC_EYE_056_001","Mean left eye lens density",0.9471854
"00p9qx4qn69189u","MGI:105089","Hsd17b4","C57BL","Early adult","IMPC_HEM_019_001","Mean platelet volume",0.09333047
"00ptoehk84q7y00","MGI:1859214","Pmm2","C57BL","Early adult","IMPC_CBC_013_001","Alanine aminotransferase",0.231989
"00r0r2d617661k9","MGI:1915956","Rgp1","C57BL","Early adult","IMPC_ECH_004_001","Ejection Fraction",0.230698
"00ri510n57bi789","MGI:1931028","Recql4","C57BL","E12.5","JAX_HBD_001_001","Total holepokes",0.6136281
"00u4497d3i84l70","MGI:2443664","Rreb1","C57BL","Early adult","M-G-P_009_001_003","Body weight",0.3258678
