impcParameterOrigId,name,description,parameterId
17587, Forelimb grip strength measurement, forelimb_grip_strength_measurement, IMPC_GRS_001_001
17588, Forelimb and hindlimb grip strength measurement, forelimb_and_hindlimb_grip_strength_measurement, IMPC_GRS_002_001
17589, Body weight, body_weight, IMPC_GRS_003_001
17590, General comments about the mouse, general_comments_about_the_mouse, IMPC_GRS_004_001
17591, Equipment ID, equipment_name, IMPC_GRS_005_001
17592, Equipment manufacturer, equipment_manufacturer, IMPC_GRS_006_001
17593, Grid model, grid_model, IMPC_GRS_007_001
17594, Forelimb grip strength measurement mean, forelimb_grip_strength_measurement_mean, IMPC_GRS_008_001
17595, Forelimb and hindlimb grip strength measurement mean, forelimb_and_hindlimb_grip_strength_measurement_mean, IMPC_GRS_009_001
17596, Forelimb grip strength normalised against body weight, forelimb_grip_strength_normalised_against_body_weight, IMPC_GRS_010_001
17597, Forelimb and hindlimb grip strength normalised against body weight, forelimb_and_hindlimb_grip_strength_normalised_against_body_weight, IMPC_GRS_011_001
17598, Experimenter ID, , IMPC_GRS_012_001
17599, Equipment model, , IMPC_GRS_013_001
17600, Date equipment last calibrated, , IMPC_GRS_014_001
27568, Adrenal gland, adrenal, IMPC_ALZ_001_001
27569, Lower Urinary Tract, lower_urinary_tract, IMPC_ALZ_002_001
27570, Brain, brain, IMPC_ALZ_003_001
27571, Eye, eye, IMPC_ALZ_004_001
27572, Heart, heart, IMPC_ALZ_005_001
27573, Kidney, kidney, IMPC_ALZ_006_001
27574, Liver, liver, IMPC_ALZ_007_001
27575, Lymph Node, lymph_node, IMPC_ALZ_008_001
27576, Mammary gland, mammary_gland, IMPC_ALZ_009_001
27577, Ovary, ovary, IMPC_ALZ_010_001
27578, Oviduct, oviduct, IMPC_ALZ_011_001
27579, Skin, skin_with_mg, IMPC_ALZ_012_001
27580, Stomach, stomach, IMPC_ALZ_013_001
27581, Testis, testis_epididymus, IMPC_ALZ_014_001
27582, Thymus, thymus, IMPC_ALZ_015_001
27583, Trachea, trachea, IMPC_ALZ_016_001
27584, Uterus, uterus, IMPC_ALZ_017_001
27585, Large Intestine, large_intestine, IMPC_ALZ_018_001
27586, Esophagus, esophagus, IMPC_ALZ_019_001
27587, Spinal cord, spinal_cord, IMPC_ALZ_020_001
27588, Thyroid gland, thyroid, IMPC_ALZ_021_001
27589, Pituitary gland, pituitary, IMPC_ALZ_022_001
27590, Skeletal Muscle, skeletal_muscle, IMPC_ALZ_023_001
27591, Small Intestine, small_intestine, IMPC_ALZ_024_001
27592, White Adipose Tissue, white_adipose_tissue, IMPC_ALZ_025_001
27593, Lung, lungs, IMPC_ALZ_026_001
27594, Aorta, aorta, IMPC_ALZ_027_001
27595, Pancreas, pancreas, IMPC_ALZ_028_001
27596, Prostate gland, prostate, IMPC_ALZ_029_001
27597, Spleen, spleen, IMPC_ALZ_030_001
27598, Brainstem, brainstem, IMPC_ALZ_031_001
27599, Cartilage tissue, cartilage, IMPC_ALZ_032_001
27600, Cerebral Cortex, cerebral_cortex, IMPC_ALZ_033_001
27601, Cerebellum, cerebellum, IMPC_ALZ_034_001
27602, Hippocampus, hippocampus, IMPC_ALZ_035_001
27603, Hypothalamus, hypothalamus, IMPC_ALZ_036_001
27604, Olfactory Lobe, olfactory_lobe, IMPC_ALZ_037_001
27605, Peripheral Nervous System, peripheral_nervous_system, IMPC_ALZ_038_001
27606, Peyers Patch, peyers_patch, IMPC_ALZ_039_001
27607, Striatum, straiatum, IMPC_ALZ_040_001
27608, Vascular System, vascular_system, IMPC_ALZ_041_001
27609, Urinary bladder, urinary bladder, IMPC_ALZ_042_001
